director,title
Adam Nimoy,For the Love of Spock
Elizabeth Wood,White Girl
Kevin Smith,Yoga Hosers
Rodrigo Reyes,After the Raid
Samit Kakkad,Ascharyachakit!
Kenny Young,Miss Me This Christmas
Peter Orton,Russell Howard: Recalibrate
Emil Ben-Shimon,The Women's Balcony
Kenny Young,You Can’t Fight Christmas
Julia Hart,Miss Stevens
Warren P. Sonoda,Total Frat Movie
NA,BoJack Horseman Christmas Special: Sabrina's Christmas Wish
Rob W. King,The Humanity Bureau
Ian MacAllister-McDonald,Some Freaks
L. Frazier,Mike Epps: Don't Take It Personal
"Paul Reubens, Wayne Orr",Pee-wee's Playhouse: Christmas Special
Sebastian DiNatale,Ronny Chieng: Asian Comedian Destroys America!
Prasobh Vijayan,Lilli
Jon Rosenbaum,Prince of Peoria: A Christmas Moose Miracle
Ekachai Uekrongtham,Skin Trade
Jay Surridge,Bob's Broken Sleigh
"Jayson Thiessen, Ishi Rudell",My Little Pony Equestria Girls: Rainbow Rocks
Steve Antin,Burlesque
"Nuhash Humayun, Syed Ahmed Shawki, Rahat Rahman, Robiul Alam Robi, Golam Kibria Farooki, Mir Mukarram Hossain, Tanvir Ahsan, Mahmudul Islam, Abdullah Al Noor, Krishnendu Chattopadhyay, Syed Saleh Ahmed Sobhan","Sincerely Yours, Dhaka"
Tom Hooper,The Danish Girl
Brendon Marotta,American Circumcision
Sriram Raghavan,Andhadhun
"Elaine Bogan, John Sanford",Dragons: Dawn of the Dragon Racers
Michael Cuesta,Kill the Messenger
David Cronenberg,Maps to the Stars
Lone Scherfig,One Day
Thom Zimny,Springsteen on Broadway
James Marsh,The Theory of Everything
Gordon Chan,God of War
Vikram Gandhi,Barry
Morgan Spurlock,Rats
Sean Hanish,Sister Cities
David Shisgall,Theo Who Lived
Mark Williams,A Family Man
Karan Anshuman,Bangistan
Farhan Akhtar,Dil Chahta Hai
Zoya Akhtar,Dil Dhadakne Do
Farhan Akhtar,Don
Farhan Akhtar,Don 2
Mrighdeep Singh Lamba,Fukrey
Abhinay Deo,Game
Fernando Ayllón,Holy Expectations
Reema Kagti,Honeymoon Travels Pvt. Ltd.
Brodje Wemboendja,Hope: One in a Billion
Jadesola Osiberu,Isoken
Vijay Lalwani,Karthik Calling Karthik
Farhan Akhtar,Lakshya
Zoya Akhtar,Luck by Chance
Shirley Frimpong-Manso,Potato Potahto
Abhishek Kapoor,Rock On!!
"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum",Scooby-Doo on Zombie Island
Reema Kagti,Talaash
Phil Roman,Tom and Jerry: The Magic Ring
Téo Frank,Underdogs
Zoya Akhtar,Zindagi Na Milegi Dobara
Sean Olson,F.R.E.D.I.
Sigrid Andrea Bernardo,Kita Kita
NA,Once in a Lifetime Sessions with George Ezra
Matt Askem,Once in a Lifetime Sessions with Kasabian
NA,Once in a Lifetime Sessions with OneRepublic
Matt Askem,Once in a Lifetime Sessions with Snow Patrol
Guillermo de Oliveira,Sad Hill Unearthed
Elliot Hegarty,The Bad Education Movie
Manoj Beedha,Vanjagar Ulagam
Vikram Bhatt,1920
Daniel Alfredson,Blackway
Jody Lambert,Brave New Jersey
Sridhar Rangayan,Breaking Free
Ernie Barbarash,Christmas Inheritance
Agnidev Chatterjee,Dark Chocolate (Bengali Version)
Todd Standing,Discovering Bigfoot
Marc Levin,Freeway: Crack in the System
Manbhavan Singh,Gelo
Pa. Ranjith,Kabali (Hindi Version)
Ignacio López Escrivá,Los Niños Héroes de Chapultepec
Rahat Kazmi,Mantostaan
Nicholas Kharkongor,Mantra
Varun Narvekar,Muramba
Seth Henrikson,Pottersville
"Devaki Singh, Luke Kenny",Rise of the Zombie
Benson Lee,Seoul Searching
Antonio Serrano,"Sexo, Pudor y Lagrimas"
Chris Burkard,Under an Arctic Sky
Sinan Akkuş,3 Türken & ein Baby
Matt Bell,Eddie - Strongman
Hardik Mehta,Famous in Ahmedabad
Elite Zexer,Sand Storm
Pedro Morelli,Zoom
John Banas,The Monster of Mangatiti
Wim Bonte,This Was Tomorrow
Alfonso Cuarón,ROMA
"Bruce MacDonald, Gabriel Sabloff",Samson
Mike Nicoll,At All Costs
Michael Bay,6 Underground
Robert O. Peters,A Trip to Jamaica
Bunmi Ajakaiye,My Wife and I
Omoni Oboli,Okafor's Law
Biodun Stephen,Seven and a half dates
M.J. Bassett,Silent Hill: Revelation
Ding-Lin Wang,The 9th Precinct
Robert O. Peters,Zero Hour
Richard van't Riet,Jack Whitehall: Christmas with My Father
"John Hoffman, Nanfu Wang","Out of Many, One"
Marcus Raboy,Judd Apatow: The Return
Michael Winterbottom,The Trip to Spain
"Jean-Pierre Dardenne, Luc Dardenne",The Unknown Girl
Gurinder Chadha,Viceroy's House
Gabriela Cowperthwaite,Blackfish
"Raúl Campos, Jan Suter",Ricardo O'Farrill: Abrazo navideño
Christopher Smith,Get Santa
Josh Greenbaum,The Short Game
Shonali Bose,The Sky Is Pink
Adam Alleca,Standoff
Marcus Raboy,Vir Das: Losing It
Craig Anderson,Red Christmas
Michael G. Kehoe,The Hatred
Alex Lehmann,Asperger's Are Us
Frank Coraci,The Ridiculous 6
Sameh Abdulaziz,Good and Prosperous
Lance Bangs,Michelle Wolf: Joke Show
Hiroshi Katagiri,Gehenna: Where Death Lives
Ivan Sen,Goldstone
"Anthony Caronna, Alexander Smith",Susanne Bartsch: On Top
Jeffrey C. Bell,Sons of Ben
Michelle Johnston,A Cinderella Story: Christmas Wish
John Fortenberry,A Night at the Roxbury
Jay Roach,Austin Powers in Goldmember
Jay Roach,Austin Powers: International Man of Mystery
Jay Roach,Austin Powers: The Spy Who Shagged Me
Vijay Kumar Arora,Baby Dolls
Matt Shakman,Cut Bank
Mikhail Red,Dead Kids
Pankaj Batra,High End Yaariyan
Craig Brewer,Hustle & Flow
Serge Ou,Iron Fists and Kung-Fu Kicks
Navaniat Singh,Jindua
NA,Lakeeran
Gaurav Bavdankar,Mahi NRI
David Raynr,Martin Lawrence Live: Runteldat
Gregory Hoblit,Primal Fear
Jagdeep Sidhu,Qismat
Malik Bendjelloul,Searching for Sugar Man
Jamie M. Dagg,Sweet Virginia
Tanawat Aiemjinda,Tee Shot: Ariya Jutanugarn
Robert Rodriguez,The Adventures of Sharkboy and Lavagirl
Martin Scorsese,The Departed
"Brendan Malloy, Emmett Malloy",The Tribes of Palos Verdes
Mukesh Vohra,Thug Life
"Syrine Boulanouar, Nekfeu",Wandering Stars
Tudor Giurgiu,Why Me?
Andrew Lau Wai-Keung,A Beautiful Life
Cheang Pou Soi,Accident
Enrique García Meza,"Ayotzinapa, el paso de la tortuga"
Katarina Launing,Battle
Johnnie To,Blind Detective
"Gabriel Clarke, Torquil Jones",Bobby Robson: More Than a Manager
Lawrence Cheng,Break Up 100
Prakash Balwant Saini,Chal Bhaag
Nam Ron,Crossroads: One Two Jaga
Johnnie To,Don't Go Breaking My Heart
Johnnie To,Don't Go Breaking My Heart 2
Baljit Singh Deo,Faraar
"Leung Lok Man, Luk Kim-ching",Helios
Guillermo del Toro,Hellboy
Jazz Boon,Line Walker
Prakash Satam,Little Singham aur Kaal ka Mahajaal
Andrew Lau Wai-Keung,Look for a Star
NA,Oddbods: The Festive Menace
Felix Chong,Once a Gangster
Dhanush,Power Paandi
NA,Roll With Me
Gary Mak,SDU: Sex Duties Unit
Liu Jiang,Set Off
Gabriele Muccino,Seven Pounds
"Blake Harris, Chris Bouchard",The Little Mermaid
"Evan Spiridellis, Jeff Gill",A StoryBots Christmas
Jasbir Bijendra Bhati,Bhouri
NA,Diana: In Her Own Words
Tristan Ferland Milewski,Dream Boat
NA,DreamWorks Home: For the Holidays
Harjit Singh,Eh Janam Tumhare Lekhe
"Jon Carey, Adam Darke",Forbidden Games: The Justin Fashanu Story
Jennifer Lynch,Hisss
Leopoldo Aguilar,Monster Island
"Nana Ekvtimishvili, Simon Gross",My Happy Family
"Daniel Mann, Joseph Sargent",Playing for Time
Ashish R. Shukla,Prague
Rohit Jugraj,Sardaar ji
Priyadarshan,Tezz
Peter Spirer,The Legend of 420
Ali F. Mostafa,The Worthy
"Myles Kane, Josh Koury",Voyeur
Robert McCullough Jr.,#Rucker50
Shrihari Sathe,1000 Rupee Note
Ralph Macchio,Across Grace Alley
Ricardo Maldonado,Asu Mare 2
Vetrimaaran,Interrogation
Chad L. Scheifele,Natural Selection
Linas Phillips,Rainbow Time
Jeff Margolis,Richard Pryor: Live in Concert
Einar Gabbassov,Tellur Aliens
Bauddhayan Mukherji,The Violin Player
Mark Risley,Yo-Kai Watch: The Movie
"Ishi Rudell, Jayson Thiessen",My Little Pony Equestria Girls: Friendship Games
"Susan Lambert, Stefan Moore",Tyke Elephant Outlaw
Tim Johnson,Kung Fu Panda: Holiday
Robert Moresco,Colin Quinn: Red State Blue State
Aadish Keluskar,Jaoon Kahan Bata Ae Dil
"Joe Murray, Cosmo Segurson",Rocko's Modern Life: Static Cling
Michael Fahey,Westside vs. the World
Alejandro Montiel,Perdida
Ian Cheney,The Most Unknown
Jesse Gustafson,Black Site Delta
John Schultz,Judy Moody and the Not Bummer Summer
Nancy Schwartzman,Roll Red Roll
Darren Lynn Bousman,St. Agatha
Ted Demme,Denis Leary: No Cure For Cancer
Sujoy Ghosh,Badla
John Papola,The Pursuit
John Asher,Theo Von: No Offense
S.S. Rajamouli,Baahubali 2: The Conclusion (Hindi Version)
S.S. Rajamouli,Baahubali 2: The Conclusion (Malayalam Version)
S.S. Rajamouli,Baahubali 2: The Conclusion (Tamil Version)
S.S. Rajamouli,Baahubali: The Beginning (Hindi Version)
S.S. Rajamouli,Baahubali: The Beginning (Malayalam Version)
S.S. Rajamouli,Baahubali: The Beginning (Tamil Version)
Osman Ali,Mission: Destroy Love
Rolfe Kanefsky,The Black Room
Mae Czarina Cruz,Crazy Beautiful You
Lance Bangs,I'm Brent Morin
Shannon Hartman,Jim Jefferies : BARE
Christopher Nolen,Professor Mack
Billy Corben,Screwball
Joe DeMaio,Sebastian Maniscalco: Why Would You Do That
NA,Jake's Buccaneer Blast
Rob Silvestri,LEGO Marvel Super Heroes: Avengers Reassembled!
NA,Alarmoty in the Land of Fire
Mohamed Samy,Detention Letter
Alex Burunova,Enter the Anime
Jesús Torres Torres,No One Will Ever Know
Matthias Hoene,Enter the Warriors Gate
Chris Nahon,Lady Bloodfight
Dante Lam,Operation Mekong
Ringo Lam,Sky on Fire
Alex Coletti,David Cross: Making America Great Again!
Mark Osborne,The Little Prince
Christian De Vita,Yellowbird
Abhishek Varman,2 States
Sabir Khan,Baaghi
Nikhil Nagesh Bhat,Brij Mohan Amar Rahe
"Xiaoxing Yi, Yoshitaka Takeuchi, Haoling Li",Flavors of Youth: International Version
"Raúl Campos, Jan Suter",Alan Saldaña: Mi vida de pobre
Bryan Fogel,Icarus
Fabrice Du Welz,Message from the King
Rohit Shetty,Chennai Express
Johnnie To,"Justice, My Foot!"
Wong Jing,Prince Charming
Mateo Gil,The Laws of Thermodynamics
Paul Andrew Williams,The Eichmann Show
"Rémy Four, Julien War",Back to School
Fernando Ayllón,Feo pero sabroso
Alejandro Fernández Almendras,Mi amigo Alexis
Jota Linares,Unbridled
"Will Lockhart, Cole D. Pruitt",The Surrounding Game
Erwin van den Eshof,Misfit
Lauren Miller Rogen,Like Father
Fernando González Molina,The Invisible Guardian
Joseph Mbah,Expo
Roger Kumble,Falling Inn Love
Wagner de Assis,Kardec
David Mackenzie,Starred Up
Jacob Kornbluth,Inequality for All
Robert Adetuyi,Bring It On: Worldwide Showdown
Marcus Raboy,Ryan Hamilton: Happy Face
White Trash Tyler,Travis Scott: Look Mom I Can Fly
Van M. Pham,Conjuring Spirit
Shivam Nair,Naam Shabana
Tanuja Chandra,Qarib Qarib Singlle
A.R. Murugadoss,Spyder
Gaby Dellal,3 Generations
Chris Bell,A Leaf of Faith
John Barnard,Menorca
Stan Lathan,Dave Chappelle: Sticks & Stones
Philip Yung,May We Chat
Sarah Adina Smith,Buster's Mal Heart
Aaron Burns,Madre
Abdellatif Kechiche,Blue Is the Warmest Color
Jay Karas,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...
Christopher Louie,XOXO
Tim Rouhana,One Last Thing
Joe Berlinger,Hank: Five Years from the Brink
Ana Kokkinos,Head On
Toshiya Shinohara,InuYasha the Movie: Affections Touching Across Time
Jordan Brady,Maria Bamford: The Special Special Special
Lars von Trier,Nymphomaniac: Volume II
Keiko Yagi,"Behind ""The Cove"": The Quiet Japanese Speak Out"
Cate Shortland,Berlin Syndrome
Adam Wingard,Death Note
Mohd Khairul Azri Bin Md Noor,Pekak
Daniela Goggi,Abzurdah
Yeung Yat-Tak,Drink Drank Drunk
Keith L. Smith,Fanatic
Todd Biermann,Bert Kreischer: Secret Time
Mike Clattenburg,One Last Shot
Ian Edelman,The After Party
"Randall Lobb, Robert McCallum",The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe
Rai Yuvraj Bains,Kaake Da Viyah
Sunil Thakur,Marriage Palace
Muh Chen,Mayday Life
Saurabh Sinha,Saavat
Ari Folman,The Congress
Bassam Kurdali,Elephants Dream 4 Hour
Brian O'Malley,The Lodgers
Peter Spirer,Feel Rich
Marcus Raboy,Lynne Koplitz: Hormonal Beast
Michael Seater,Sadie's Last Days on Earth
"Steven Bognar, Julia Reichert",American Factory
Ashwin Saravanan,Game Over (Hindi Version)
Ashwin Saravanan,Game Over (Tamil Version)
Ashwin Saravanan,Game Over (Telugu Version)
Jun Lana,The Girl Allergic to Wi-Fi
Ashwiny Iyer Tiwari,Bareilly Ki Barfi
Atlee Kumar,Mersal
Ravi Udyawar,Mom
R. Balki,Pad Man
Shree Narayan Singh,Toilet: Ek Prem Katha
Salima Koroma,Bad Rap
Woo Ming Jin,KL Zombi
Shamyl Othman,Rembat
Michael Mazzola,Unacknowledged
Martin Scorsese,Gangs of New York
NA,Our Planet - Behind The Scenes
Julia Knowles,Simon Amstell: Set Free
Scott Marshall Smith,Camera Store
Nagesh Kukunoor,Dhanak
Dean Wright,For Greater Glory
Camille Shooshani,Léa & I
Lesli Linka Glatter,Now and Then
NA,Otherhood
Vijay Kumar,Uriyadi 2
Vishal Bhardwaj,7 Khoon Maaf
"Vikas Bahl, Nitesh Tiwari",Chillar Party
Stacie Passon,Concussion
Michael Thelin,Emelie
Madhur Bhandarkar,Fashion
Abhishek Kapoor,Fitoor
Khalid Mohamed,Fiza
Luis Ara,Forever Chape
Sanjay Leela Bhansali,Guzaarish
Vishal Bhardwaj,Haider
Imtiaz Ali,Highway
Punit Malhotra,I Hate Luv Storys
Shirish Kunder,Joker
Dibakar Banerjee,Khosla Ka Ghosla
Prem Soni,Main aurr Mrs. Khanna
Ashutosh Gowariker,Mohenjo Daro
Clarence Yiu-leung Fok,On the Wrong Track
Prakash Jha,Raajneeti
Rakeysh Omprakash Mehra,Rang De Basanti
Prabhu Deva,Rowdy Rathore
Imtiaz Ali,Tamasha
Farah Khan,Tees Maar Khan
Mandeep Kumar,Tere Naal Love Ho Gaya
Anees Bazmee,Thank You
Vishal Bhardwaj,The Blue Umbrella
Michael Drumm,Lavell Crawford: Can a Brother Get Some Love?
"Fabrizio Copano, Augusto Matte",Attitude Test
Esteban Vidal,Barrio Universitario
Esteban Vidal,Héroes
Liu Jie,Hide and Seek
Ding Sheng,Railroad Tigers
Justin Krook,I'll Sleep When I'm Dead
"Gervasio Iglesias, Alexis Morante",Alejandro Sanz: What I Was Is What I Am
Will Gluck,Peter Rabbit
"Daniel Lindsay, T.J. Martin",Undefeated
Tommy Wirkola,What Happened to Monday
NA,Party Monster: Scratching the Surface
Michael Carney,Same Kind of Different as Me
Manuel Martín Cuenca,The Motive
Susan Johnson,To All the Boys I’ve Loved Before
Y. Joon Chung,Yoo Byung Jae: Discomfort Zone
Jon Rosenbaum,Cop and a Half: New Recruit
Mark Murphy,For Love or Money
NA,Invader Zim: Enter the Florpus
Tarsem Singh,Selfless
Michael Tiddes,Sextuplets
NA,Super Monsters Back to School
Kepa Sojo,The Little Switzerland
Vikramaditya Motwane,Bhavesh Joshi Superhero
Wong Jing,Casino Tycoon 2
Chia-Liang Liu,Disciples Of The 36th Chamber
Chia-Liang Liu,Legendary Weapons of China
Johnnie To,Lifeline
Sze Yu Lau,"Look Out, Officer"
Stephen Chow,Love on Delivery
Johnnie To,Loving You
Li Pei-Chuan,Mahjong Heroes
Chia-Liang Liu,Martial Arts of Shaolin
Anthony Chan,Mr. Virgin
"Siu-hung Chung, Wong Jing","My Schoolmate, the Barbarian"
Poj Arnon,Oh My Ghost 3
Chia Tang,Opium and the Kung Fu Master
Alex Law,Painted Faces
Chia-Liang Liu,Return To The 36th Chamber
Herman Yau,Shark Busters
Cheh Chang,Sword Masters: Two Champions of Shaolin
Johnnie To,The Bare-Footed Kid
Johnny To,The Mad Monk
Sze Yu Lau,The Young Vagabond
Zach Braff,Wish I Was Here
"Rajiv Chilaka, Binayak Das",Chhota Bheem Kungfu Dhamaka
Diego Pignataro,Whindersson Nunes: Adult
Kyle Rideout,Adventures in Public School
"Gajendra Ahire, Viju Mane, Girish Mohite, Ravi Jadhav",Bioscope
Rucha Humnabadkar,For Here or to Go?
Scott Cooper,Hostiles
Matt Kugelman,Hurricane Bianca: From Russia With Hate
Ashutosh Gowariker,What's Your Raashee?
Matthew Salleh,Barbecue
Jay Chapman,Brad Paisley's Comedy Rodeo
Jay Chapman,Colin Quinn: Unconstitutional
Michael Dowse,Goon
Nathaniel Warsh,My Ex-Ex
Alejandro Agresti,We're No Animals
Anthony Wonke,Being AP
Ashim Ahluwalia,John & Jane
Louis C.K.,Louis C.K.: Live at the Comedy Store
NA,Real Crime: Supermarket Heist (Tesco Bomber)
"Robert Nixon, Fisher Stevens",Mission Blue
Manu Ashokan,Uyare
Peter Hutchings,The Outcasts
Jay Karas,Demetri Martin: Live (At the Time)
Anita Udeep,90 ML
Vlad Yudin,Calum von Moger: Unbroken
Alberto Arnaut Estrada,Hasta los dientes
Barak Goodman,Woodstock
Max McGill,Hot Property
David Fairhead,Mission Control: The Unsung Heroes of Apollo
Victor Zarcoff,13 Cameras
Jean-Claude La Marre,Chocolate City: Vegas Strip
Jorge Hernandez Aldana,Los Herederos
Michael Tiddes,Naked
Michael Drumm,Jim Gaffigan: Beyond the Pale
Troy Miller,Jim Gaffigan: King Baby
Jay Karas,Jim Gaffigan: Mr. Universe
Jay Chapman,Jim Gaffigan: Obsessed
Majid Majidi,Beyond the Clouds
Eduardo Chauvet,The Birth Reborn
Mike Newell,The Guernsey Literary and Potato Peel Pie Society
Jake Szymanski,The Package
Floyd Russ,Zion
Susan Glatzer,Alive and Kicking
Will Canon,Demonic
Barney Clay,SHOT! The Psycho-Spiritual Mantra of Rock
Ernie Barbarash,The Saint
Rajkumar Hirani,3 Idiots
Khaled El Halafawy,Are We Done Yet?
Todor Chapkanov,Boyka: Undisputed
Louis Leterrier,Clash of the Titans
Prawal Raman,Darna Mana Hai
Sriram Raghavan,Ek Hasina Thi
Rajesh Mapuskar,Ferrari Ki Sawaari
Mike Newell,Four Weddings and a Funeral
Alexandre Aja,Horns
Quentin Tarantino,Jackie Brown
"Lana Wachowski, Lilly Wachowski",Jupiter Ascending
Kazuaki Kiriya,Last Knights
Phanindra Narsetti,Manu
Bharat Nalluri,MI-5
David Fincher,Panic Room
John G. Avildsen,Rocky
Sylvester Stallone,Rocky II
Sylvester Stallone,Rocky III
Sylvester Stallone,Rocky IV
John G. Avildsen,Rocky V
Rob Reiner,Rumor Has It
Chris Stokes,Running Out Of Time
Nancy Meyers,Something's Gotta Give
Clint Eastwood,Space Cowboys
Beeban Kidron,"To Wong Foo, Thanks for Everything! Julie Newmar"
Bejoy Nambiar,Wazir
Paul Raschid,White Chamber
Mel Smith,Bean: The Ultimate Disaster Movie
"Jesse Handsher, Olivier Roland",Being Napoleon
Wong Jing,Casino Tycoon
Bradley Parker,Chernobyl Diaries
Wong Jing,Doubles Cause Troubles
Gregory Caruso,Flock of Four
Corey Yuen,Hero
Vishnu Govindhan,History of Joy
"Andrew Lau Wai-Keung, Alan Mak",Initial D
Pablo Giorgelli,Invisible
Jijo Pancode,Kaaliyan
Andrés Couturier,Kung Fu Magoo
Suresh Pillai,Kuppivala
B.N. Shajeer Sha,Lechmi
Hua Shan,Little Dragon Maiden
Pang Ho-cheung,Love In A Puff
Amaan Khan,Mahabharat
Pablo D'Alo Abba,Mater
Binu Ulahhannan,Melle
Anil Thomas,Minnaminugu the FireFly
Sabu Varghese,Mythily Veendum Varunnu
Matt Askem,Once In A Lifetime Sessions with Moby
Charlie Lightening,Once In A Lifetime Sessions with Nile Rodgers
Charlie Lightening,Once In A Lifetime Sessions with Noel Gallagher
Matt Askem,Once In A Lifetime Sessions with TLC
Kiran Narayanan,Oru Vishsheshapetta Biryani Kissa
Kundan Shah,P Se PM Tak
Richard Correll,R.L. Stine's Mostly Ghostly
Amir Mohiuddin,Rangreza
Zakariya,Sudani from Nigeria
Alistair Legrand,The Diabolical
Steven Soderbergh,The Informant!
John Duigan,The Parole Officer
Aditya Kripalani,Tikli and Laxmi Bomb
Maria Burton,A Sort of Homecoming
Charlie Vaughn,All Hallows' Eve
Avinash Das,Anarkali of Aarah
Paul Serafini,Annabelle Hooper and the Ghosts of Nantucket
April Mullen,Below Her Mouth
"Lilly Wachowski, Lana Wachowski, Tom Tykwer",Cloud Atlas
Ben Steele,Cop Watchers
John Butler,Handsome Devil
Ali Scher,Jessica Darling's It List
Maz Jobrani,Maz Jobrani: Immigrant
Isaac Rentz,Opening Night
Clay Glen,Raising the Bar
Christopher Murray,The Blind Christ
"Kevin Ford, Smriti Keshari, Eric Schlosser",The Bomb
David Briggs,The Truth About Alcohol
Neil Rawles,The Women Who Kill Lions
Claude Lelouch,Un plus une
"J.F. Musial, Josh Vietze",APEX: The Story of the Hypercar
John Smithson,Children of God
Daniel Kontur,Hitler's Olympics
Neil Armfield,Holding the Man
Cal Saville,How to Win the US Presidency
Christopher Martin,Interview with a Serial Killer
Tom Whitter,Real Crime: Diamond Geezers
"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",Movie 43
"Brian M. Conley, Nathan Ives",The Basement
Lena Khan,The Tiger Hunter
David Wnendt,Look Who's Back
Rajiv Menon,Sarvam Thaala Mayam (Telugu Version)
NA,The Great Battle
Justin Webster,El fin de ETA
Suman Mukhopadhyay,Incomplete
Mike Flanagan,Hush
Karthik Subbaraj,Petta (Telugu Version)
Brian Smrz,24 Hours to Live
Kim A. Snyder,Newtown
"Ester Gould, Reijer Zwaan",Strike a Pose
Gerardo Olivares,The Lighthouse of the Orcas
Joe Swanberg,Win It All
Maria Pulera,Between Worlds
Werner Herzog,Queen of the Desert
Marja Lewis Ryan,6 Balloons
Ryan Koo,Amateur
Hatem Khraiche,Orbiter 9
Derek Peck,"Ram Dass, Going Home"
Ryan Polito,Seth Rogen's Hilarity for Charity
Jennifer Morrison,Sun Dogs
"Mitzi Vanessa Arreola, Amir Galvan Cervera",The 4th Company
"Raúl Campos, Jan Suter",Todo lo que sería Lucas Lauriente
Nicolas Pesce,The Eyes of My Mother
Jeremiah Jones,Alien Warfare
Dave Patten,Backfire
Prabhuraj,Lupt
Karthik Subbaraj,Petta
Jean-Simon Chartier,Playing Hard
Thomas Meadmore,The Spy Who Fell to Earth
Brie Larson,Unicorn Store
Katherine Fairfax Wright,Behind the Curtain: Todrick Hall
Hèctor Hernández Vicens,Day of the Dead: Bloodline
Cem Yılmaz,Ali Baba ve 7 Cüceler
Ömer Faruk Sorak,Aşk Tesadüfleri Sever
Sermiyan Midyat,Bir Baba Hindu
Yılmaz Erdoğan,Ekşi Elmalar
Kıvanç Baruönü,Görümce
Ali Taner Baltacı,Hadi İnşallah
NA,İstanbul Kırmızısı
Bedran Güzel,Küçük Esnaf
Holger Tappe,Monster Family
Yılmaz Erdoğan,Organize Isler
Cem Yılmaz,Pek Yakında
Louis C.K.,Louis C.K. 2017
Herman Yau,A Home with A View
Marcus Raboy,Anthony Jeselnik: Fire in the Maternity Ward
C.J. Wallis,Perfect Bid: The Contestant Who Knew Too Much
Çagan Irmak,Babam ve Oğlum
Amit Roy,Running Shaadi
Teddy Lussi-Modeste,The Price of Success
Daniel Lee,14 Blades
Fernando Ayllón,Ricardo Quevedo: Los amargados somos más
"Rocky Soraya, Anggy Umbara",Suzzanna: Buried Alive
Kader Aoun,Fary Is the New Black
Bille Woodruff,Honey: Rise Up and Dance
Abhay Chopra,Ittefaq
Lee Chang-dong,Burning
Kranti Kanade,CRD
Dar Gai,Teen Aur Aadha
Ricky Gervais,Special Correspondents
Jon Greenhalgh,Team Foxcatcher
NA,2015 Dream Concert
"Christopher S. Rech, Brandon Kimber",A Murder in the Park
Kitty Green,Casting JonBenet
Spike Lee,Rodney King
Evan Katz,Small Crimes
Andrea Arnold,American Honey
Ben Shelton,Candy Jar
Curro Velázquez,Holy Goalie
Laura Brownson,The Rachel Divide
Robert Smigel,The Week Of
Khaled Youssef,Amar's Hands
Wael Ehsan,An Hour and a Half
"Joachim Rønning, Espen Sandberg",Kon-Tiki
Fernando Ayllón,Loving is Losing
Yılmaz Erdoğan,Money Trap
Sathyan Anthikad,Njan Prakashan
Brian Oakes,ReMastered: Devil at the Crossroads
Dominic Sena,Season of the Witch
Wayne Blair,The Sapphires
Max Amini,Enissa Amani: Ehrenwort
Dimitri Logothetis,Kickboxer: Retaliation
Simon Stone,The Daughter
Ahmad El-Badri,A Mission in an Old Movie
Yam Laranas,Aurora
Ari Sandel,Goosebumps 2: Haunted Halloween
Ahmad Samir Farag,Love Station
Mohamed Samy,Omar and Salma 3
Chris Sivertson,Shattered Memories
Amr Arafa,The Consul's Son
Robert Luketic,The Ugly Truth
"Jason Sussberg, David Alvarado",Bill Nye: Science Guy
"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba",Fishtronaut: The Movie
Sang-ho Yeon,Psychokinesis
Gauri Shinde,Dear Zindagi
Oliver Schmitz,Shepherds and Butchers
"Felix Herngren, Måns Herngren",The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared
Marcus Raboy,Vir Das: Abroad Understanding
Camilla Nielsson,Democrats
Sabal Singh Shekawat,Fireflies
Adam Del Giudice,Furthest Witness
Andy Fickman,Kevin James: Never Don't Give Up
Robert Tate,The Magic Pill
Prakash Satam,Little Singham in London
Kasia Uscinska,Secrets of Althorp - The Spencers
Susannah Ward,Secrets of Scotland Yard
Sam Taplin,Secrets of Selfridges
"Vicky Matthews, Gareth Sacala",Secrets of Underground London
Louise Wardle,Secrets of Westminster
Shalini Kantayya,Catching the Sun
NA,Patton Oswalt: Talking for Clapping
"Dennis Scholl, Kareem Tabsch",The Last Resort
Fernando Coimbra,Sand Castle
Adam Leon,Tramps
Bille August,A Fortunate Man
Fab Five Freddie,Grass Is Greener
Rebecca Addelman,Paper Year
Olivia Milch,Dude
Mark Raso,Kodachrome
"David Sington, Heather Walsh",Mercury 13
Dylan C. Brown,Mac & Devin Go to High School
Chris Stokes,Boy Bye
Shelly Chopra Dhar,Ek Ladki Ko Dekha Toh Aisa Laga
Shanjey Kumar Perumal,Jagat
Leslie Small,Kevin Hart: Irresponsible
Andrew Niccol,Good Kill
"Jarrad Paul, Andrew Mogel",The D Train
NA,Abdo Mota
Michael Doneger,Brampton's Own
Sandra Restrepo,Brené Brown: The Call to Courage
Ken Loach,"I, Daniel Blake"
Sarthak Dasgupta,Music Teacher
Sameh Abdulaziz,Roh's Beauty
Jennifer Kaytin Robinson,Someone Great
"Ken Burns, Christopher Loren Ewers, Erik Ewers",The Mayo Clinic
